PAG,Record Time, Retrieval Time, Node ID, PageNum
SLG,Record Time, Retrieval Time, Node ID, StartLogging,LogInterval,Jitter,SubLogInterval,Wake Up Block
SNS,Record Time, Retrieval Time, Node ID, SensorNum, MainLogCount, SecondaryLogCount, CountToFirstLog, LoggingFlags
BAS,Record Time, Retrieval Time, Node ID, CombinedCISandWktCIS, RXWait, Baseline 1, Baseline 2, ...
TIM,Record Time, Retrieval Time, Node ID
BAT,Record Time, Retrieval Time, Node ID, UsedPercentage %, Volts V
SSP,Record Time, Retrieval Time, Node ID,SoundSpeed mps
HRT,Record Time, Retrieval Time, Node ID,Temperature Deg C
BSL,Record Time, Retrieval Time, Node ID, RangeNode, RangeAddress, RangeMilliSeconds ms, TAT ms
PRS,Record Time, Retrieval Time, Node ID,Pressure Kpa, Temperature Deg C
INC,Record Time, Retrieval Time, Node ID, Pitch(Rads), Roll(Rads)
# 
# Data
TIM,2016/03/28 23:30:00,2016/04/03 11:28:36,5
SSP,2016/03/28 23:30:00,2016/04/03 11:28:36,5,9996.000
HRT,2016/03/28 23:30:00,2016/04/03 11:28:36,5,20.613264
BSL,2016/03/28 23:30:00,2016/04/03 11:28:36,5,1,2301,0.000,80
BSL,2016/03/28 23:30:00,2016/04/03 11:28:36,5,2,2302,0.000,160
BSL,2016/03/28 23:30:00,2016/04/03 11:28:36,5,3,2303,0.000,120
BSL,2016/03/28 23:30:00,2016/04/03 11:28:36,5,4,2304,0.000,200
PRS,2016/03/28 23:30:00,2016/04/03 11:28:36,5,105.661,20.46
TIM,2016/03/29 00:45:00,2016/04/03 11:28:36,5
SSP,2016/03/29 00:45:00,2016/04/03 11:28:36,5,9996.000
HRT,2016/03/29 00:45:00,2016/04/03 11:28:36,5,20.515051
BSL,2016/03/29 00:45:00,2016/04/03 11:28:36,5,1,2301,0.000,80
BSL,2016/03/29 00:45:00,2016/04/03 11:28:36,5,2,2302,0.000,160
BSL,2016/03/29 00:45:00,2016/04/03 11:28:36,5,3,2303,0.000,120
